N, V, Time (ms)
1000000, 2, 78.6387
1000000, 4, 84.3282
1000000, 8, 81.3267
1000000, 16, 87.6412
1000000, 32, 69.5091
1000000, 64, 72.8795
1000000, 128, 78.6878
1000000, 256, 73.3107
