N, V, Time (ms)
10000, 2, 0.609297
10000, 4, 0.953645
10000, 8, 1.03627
10000, 16, 0.987674
10000, 32, 0.796917
10000, 64, 0.61078
10000, 128, 0.620038
10000, 256, 0.609076
