N, V, Time (ms)
10000000, 2, 618.806
10000000, 4, 686.223
10000000, 8, 680.977
10000000, 16, 679.659
10000000, 32, 642.705
10000000, 64, 648.527
10000000, 128, 636.963
10000000, 256, 633.871
