N, V, Time (ms)
1000, 2, 0.063938
1000, 4, 0.064208
1000, 8, 0.080245
1000, 16, 0.065899
1000, 32, 0.087034
1000, 64, 0.066917
1000, 128, 0.059113
1000, 256, 0.077978
